"ComplianceStatus","TrustType","DeviceOS","DeviceStateInIntune","Count"
"Non-Compliant","","","BYOD","2"
"Non-Compliant","","Android","BYOD","4"
"Non-Compliant","","Ios 16.7.10","BYOD","1"
"Non-Compliant","","Ios 17.3","BYOD","1"
"Non-Compliant","","Ios 17.3.0","BYOD","1"
"Non-Compliant","","Ios 17.5.1","BYOD","1"
"Non-Compliant","","Ios 17.6","BYOD","1"
"Non-Compliant","","Ios 17.6.0","BYOD","1"
"Non-Compliant","","Ios 17.6.1","BYOD","7"
"Non-Compliant","","Ios 17.7","BYOD","2"
"Non-Compliant","","Ios 17.7.0","BYOD","2"
"Non-Compliant","","Ios 18.0","BYOD","3"
"Non-Compliant","","Ios 18.0.0","BYOD","2"
"Non-Compliant","","Ios 18.0.1","BYOD","1"
"Non-Compliant","","MacOs","BYOD","7"
"Non-Compliant","","Windows","BYOD","2"
"Non-Compliant","","Windows10","BYOD","65"
"Non-Compliant","Azure AD registered","Ios 17.6.1","Absent","1"
"Non-Compliant","Azure AD registered","Windows10","Absent","25"
"Non-Compliant","Hybrid Azure AD joined","Windows","Absent","1"
"Non-Compliant","Hybrid Azure AD joined","Windows10","Absent","4"
